site;bdz;bm1;;;;;;;;;;;;;;;;;
theme;meteosol;;;;;;;;;;;;;;;;;;
frequence;semi-horaire;;;;;;;;;;;;;;;;;;
date de debut;31/12/2018;;;;;;;;;;;;;;;;;;
date de fin;31/12/2018;;;;;;;;;;;;;;;;;;
commentaire;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
date;time;P_1_1_1;TA_1_1_1;TS_1_1_1;TS_1_1_2;TS_1_2_1;TS_1_2_2;TS_1_3_1;TS_1_3_2;TS_1_4_1;TS_1_5_1;G_ISCAL_1_1_1;G_1_1_1;G_1_1_2;G_ISCAL_1_1_2;PA_1_1_1;RH_1_1_1;WS_1_1_1;WD_1_1_1
31/12/2018;16:30;0.0;6.5689178;6.3321266;6.637852;5.9146857;6.7780976;5.0548463;5.756912;4.9623485;6.543265;0;3.3627815;2.7052696;0;1017.9605;99.93231;0.20766667;215
31/12/2018;17:00;0.0;6.451874;6.243271;6.5889487;5.906371;6.7348785;5.089807;5.781732;4.9824524;6.541943;0;3.0395873;2.6625333;0;1017.9236;99.906525;0.18033333;168
31/12/2018;17:30;0.0;6.356716;6.1218414;6.5097556;5.8774476;6.662265;5.120408;5.787994;4.9866633;6.540832;0;2.638717;2.44478;0;1017.8737;99.91276;0.21866667;110
31/12/2018;18:00;0.0;6.272477;5.9901085;6.409624;5.8313293;6.5642457;5.14946;5.783486;5.003427;6.5388913;0;2.225656;2.2035027;0;1017.8683;99.92444;0.15666667;169
31/12/2018;18:30;0.0;6.1577287;5.8785677;6.3051424;5.780444;6.4542747;5.171383;5.767747;5.0092144;6.537509;0;1.856328;1.9387352;0;1017.87244;99.909355;0.155;199
31/12/2018;19:00;0.0;6.135608;5.7933707;6.210089;5.734854;6.3474846;5.1930594;5.7479124;5.027203;6.5356965;0;1.5623319;1.7060055;0;1017.8592;99.9151;0.18333334;146
31/12/2018;19:30;0.0;6.134093;5.7288136;6.1283846;5.695702;6.2531404;5.2075768;5.7321258;5.0330973;6.5351768;0;1.360643;1.5180885;0;1017.8731;99.91913;0.23866667;108
31/12/2018;20:00;0.0;6.075931;5.672225;6.059651;5.6604533;6.1710653;5.2210236;5.7152596;5.049828;6.5352416;0;1.175981;1.3472729;0;1017.8213;99.90872;0.171;163
31/12/2018;20:30;0.0;6.009097;5.622476;5.9944744;5.6305604;6.0969806;5.233388;5.69473;5.059801;6.5351324;0;1.0204614;1.1871171;0;1017.7408;99.91247;0.24366666;120
31/12/2018;21:00;0.0;5.9158034;5.575176;5.936931;5.6005454;6.03036;5.2434173;5.680522;5.0727468;6.535268;0;0.947562;1.0632701;0;1017.7694;99.89348;0.18866667;195
31/12/2018;21:30;0.0;5.906305;5.536782;5.8864737;5.572428;5.971029;5.250213;5.660857;5.0870547;6.535278;0;0.8236592;0.93517613;0;1017.66064;99.91502;0.273;124
31/12/2018;22:00;0.0;5.9124;5.5028534;5.8375587;5.5517254;5.915453;5.258709;5.646944;5.093907;6.535155;0;0.73861134;0.83268;0;1017.59375;99.93351;0.233;133
31/12/2018;22:30;0.0;5.804756;5.470257;5.7966094;5.529962;5.867665;5.265232;5.6330676;5.1082835;6.5352526;0;0.6511295;0.7728809;0;1017.4769;99.88495;0.27133334;122
31/12/2018;23:00;0.0;5.693788;5.433188;5.754862;5.5082946;5.821474;5.269836;5.617465;5.115814;6.535094;0;0.5320784;0.6832078;0;1017.49744;99.899734;0.279;126
31/12/2018;23:30;0.0;5.609732;5.388388;5.711619;5.482773;5.773626;5.274434;5.603121;5.1260934;6.535094;0;0.42274845;0.58713335;0;1017.4;99.91276;0.33566666;198
